"","subject","session","encoding","mean_fd","valid_time_sec"
"498",126426,"REST2","RL",0.163169792720738,854.64
"499",126628,"REST1","LR",0.202673504374424,817.92
"500",126628,"REST2","LR",0.233968660643034,788.4
"501",126628,"REST1","RL",0.299580028375382,709.92
"502",126628,"REST2","RL",0.15823215615923,833.04
"503",127226,"REST1","LR",0.134974079570998,862.56
"504",127226,"REST2","LR",0.0939713867789306,864
"505",127226,"REST1","RL",0.0828642086286502,864
"506",127226,"REST2","RL",0.0864842688167853,864
"507",127327,"REST1","LR",0.324831915667002,722.16
"508",127327,"REST2","LR",0.33700526336774,699.84
"509",127327,"REST1","RL",0.22921381367922,794.88
"510",127327,"REST2","RL",0.351221752850755,684.72
"511",127630,"REST1","LR",0.14797321430025,861.84
"512",127630,"REST2","LR",0.0910566885273815,861.12
"513",127630,"REST1","RL",0.0746713684616996,864
"514",127630,"REST2","RL",0.0864171106359617,860.4
"515",127731,"REST1","LR",0.0935443187390358,853.2
"516",127731,"REST2","LR",0.225065880286329,777.6
"517",127731,"REST1","RL",0.0686281375077119,864
"518",127731,"REST2","RL",0.176754256489828,827.28
"519",127832,"REST1","LR",0.145893006618155,854.64
"520",127832,"REST2","LR",0.0988007774096684,862.56
"521",127832,"REST1","RL",0.10903625121251,861.12
"522",127832,"REST2","RL",0.148337106484494,856.8
"523",127933,"REST1","LR",0.136301368091141,864
"524",127933,"REST2","LR",0.111989564658562,864
"525",127933,"REST1","RL",0.111919486853025,864
"526",127933,"REST2","RL",0.12764319923305,861.84
"527",128026,"REST1","LR",0.220011343745485,797.04
"528",128026,"REST2","LR",0.232323795327915,779.04
"529",128026,"REST1","RL",0.323147698528281,747.36
"530",128026,"REST2","RL",0.313413096093097,733.68
"531",128127,"REST1","LR",0.12246954490717,864
"532",128127,"REST2","LR",0.182383310232501,832.32
"533",128127,"REST1","RL",0.191412068879738,851.04
"534",128127,"REST2","RL",0.103470021136231,862.56
"535",128329,"REST1","LR",0.155123337116297,858.24
"536",128329,"REST1","RL",0.109917588849284,864
"537",128632,"REST1","LR",0.151499642827272,838.8
